Resume,Interests,Skills,Masters,UG_Specialization,Career_Path
Sales/Marketing;Technology;Understand human behaviour;Data analytics;Game industry;Data scientist;Web development Accounting Skills;Programming Language skills;Gathering Information;Business Knowledge;Analytical Skills;Product knowledge;Problem Solving skills;Sales;Social Media Marketing;Python;SQL;Client management Computer Applications Field sales officer Tally,Sales/Marketing;Technology;Understand human behaviour;Data analytics;Game industry;Data scientist;Web development,Accounting Skills;Programming Language skills;Gathering Information;Business Knowledge;Analytical Skills;Product knowledge;Problem Solving skills;Sales;Social Media Marketing;Python;SQL;Client management,,Computer Applications,Sales & Marketing Executive
"Financial Analysis, Entrepreneurship Gathering Informing, Business Knowledge Accountancy Journalist No","Financial Analysis, Entrepreneurship","Gathering Informing, Business Knowledge",,Accountancy,Business Analyst
Sales/Marketing Leadership Business Administration Business Analyst Computer Engineer Masters in Computer Applications,Sales/Marketing,Leadership,Masters in Computer Applications,Business Administration,Sales & Marketing Executive
News Coverage Writing Commerce Teacher Telaring,News Coverage,Writing,,Commerce,Content Writer
News Coverage Writing Commerce Teacher No,News Coverage,Writing,,Commerce,Content Writer
Design CAD/CAE(autocad/catia/ansys/proE/SeimensNX) Mechanical Engineering  CES-CAE- FEA Analyst ANSYS & Finite Element Analysis,Design,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),,Mechanical Engineering,Mechanical Engineer
Technology;Data analytics;Data scientist Analytical Skills;Python;SQL Civil engineering  Certificate program in Data science Structural engineering,Technology;Data analytics;Data scientist,Analytical Skills;Python;SQL,Structural engineering,Civil engineering,Data Scientist
"Web Designing;Data analytics;Digital marketing;Data scientist Programming Language skills;Critical Thinking;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Python;Artificial Intelligence;SQL;Java;Cloud Computing;Architecture;AWS Information Technology  Database Administrator Selenium WebDriver,JAVA",Web Designing;Data analytics;Digital marketing;Data scientist,Programming Language skills;Critical Thinking;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Python;Artificial Intelligence;SQL;Java;Cloud Computing;Architecture;AWS,,Information Technology,Data Scientist
"Financial Analysis;Research;Social Justice;Data analytics;Data scientist;Web development;Social media marketing Critical Thinking;Analytical Skills;People management;Mass Communication;Leadership;Editing;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Python;Artificial Intelligence;SQL;Cloud Computing;Architecture;MATLAB Mathematics   SQL, Data Science",Financial Analysis;Research;Social Justice;Data analytics;Data scientist;Web development;Social media marketing,Critical Thinking;Analytical Skills;People management;Mass Communication;Leadership;Editing;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Python;Artificial Intelligence;SQL;Cloud Computing;Architecture;MATLAB,,Mathematics ,Data Scientist
Software Job NO Electrical and Electronics Engineering associate trainee No,Software Job,NO,,Electrical and Electronics Engineering,Software Developer
Software Job NO Computer Science Engineering trainee and associates No,Software Job,NO,,Computer Science Engineering,Software Developer
"Technology Work under Pressure, Team work, Excel Mechanical Engineering Mechanical Engineer No Masters in Management Studies",Technology,"Work under Pressure, Team work, Excel",Masters in Management Studies ,Mechanical Engineering,Mechanical Engineer
Financial Analysis Business Knowledge Accountancy Business Analyst No Masters in Accounting,Financial Analysis,Business Knowledge,Masters in Accounting,Accountancy,Business Analyst
"Research, Technology Active Listening, Leadership, Team work, Interpersonal Skills, Building Rapport Biotechnology Production specialist Biozeen training Masters in Science","Research, Technology","Active Listening, Leadership, Team work, Interpersonal Skills, Building Rapport",Masters in Science,Biotechnology,Management Professional
"Technology Python, Java, SQL, C++ Computer Science Engineering Computer Software Engineer No Masters in Computer Science",Technology,"Python, Java, SQL, C++",Masters in Computer Science,Computer Science Engineering,Data Scientist
Technology;Service;Social causes;All fields related to Data science. Programming Language skills;Communication skills;Leadership;Problem Solving skills Computer Science Engineering  NPTEL,Technology;Service;Social causes;All fields related to Data science.,Programming Language skills;Communication skills;Leadership;Problem Solving skills,,Computer Science Engineering,Data Scientist
Design CAD/CAE(autocad/catia/ansys/proE/SeimensNX) Mechanical Engineering Mechanical Design Engineer Product Development,Design,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),,Mechanical Engineering,Mechanical Engineer
Technology;Trading;Data analytics Active Listening;Programming Language skills;Gathering Information;Analytical Skills;R;Python;SQL Mechanical Engineering  Data Science Course Certification,Technology;Trading;Data analytics,Active Listening;Programming Language skills;Gathering Information;Analytical Skills;R;Python;SQL,,Mechanical Engineering,Data Scientist
"Technology;Understand human behaviour;Web Designing;Web development Programming Language skills;Business Knowledge;People management;Communication skills;Java;Good communication skills Electrical Engineering Software Developer  Wind energy, python",Technology;Understand human behaviour;Web Designing;Web development,Programming Language skills;Business Knowledge;People management;Communication skills;Java;Good communication skills,,Electrical Engineering,Web Developer
Financial Analysis;News Coverage;Technology;Supply Chain Analysis Active Listening;Critical Thinking;Finance related skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Interpersonal skills;Presentation Skills Mechanical engineering  Mechanical product developer  No Masters in Global Foresight and technology management,Financial Analysis;News Coverage;Technology;Supply Chain Analysis,Active Listening;Critical Thinking;Finance related skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Interpersonal skills;Presentation Skills,Masters in Global Foresight and technology management ,Mechanical engineering ,Product Manager
Further Studies NO Electrical and Electronics  No M.Tech ( Master of Technology ),Further Studies,NO,M.Tech ( Master of Technology ),Electrical and Electronics,Electrical Engineer
Web Designing;Data analytics;Govt. Job;Game industry;Data scientist;All fields related to Data science.;Industires Active Listening;Hardware skills;Critical Thinking;Analytical Skills;Communication skills;Negotiation skills;Mass Communication;Leadership;Product knowledge;Interpersonal skills;Presentation Skills;Python;Good communication skills Mechanical Engineering  CATIA AUTOCAD ANALYSIS SOLID WORKS,Web Designing;Data analytics;Govt. Job;Game industry;Data scientist;All fields related to Data science.;Industires,Active Listening;Hardware skills;Critical Thinking;Analytical Skills;Communication skills;Negotiation skills;Mass Communication;Leadership;Product knowledge;Interpersonal skills;Presentation Skills;Python;Good communication skills,,Mechanical Engineering,Data Scientist
Social Justice;Technology;Industires Hardware skills;Product knowledge Mining General masdor No,Social Justice;Technology;Industires,Hardware skills;Product knowledge,,Mining,Product Manager
"Teaching Active Listening,Work under Pressure,Team work,Presentation skills,Reading Electronics and Communication Engineering Teaching No M.Tech",Teaching,"Active Listening,Work under Pressure,Team work,Presentation skills,Reading",M.Tech,Electronics and Communication Engineering,Academic / Teacher
Research;Data analytics;Data scientist;Market reserach;Social causes Active Listening;Critical Thinking;Gathering Information;Analytical Skills;Editing;Problem Solving skills;Risk management skills;Writing skills;C++;R;Java;MATLAB Mathematics  Analyst No,Research;Data analytics;Data scientist;Market reserach;Social causes,Active Listening;Critical Thinking;Gathering Information;Analytical Skills;Editing;Problem Solving skills;Risk management skills;Writing skills;C++;R;Java;MATLAB,,Mathematics ,Data Scientist
"Cloud computing,Technology,Data analytics,Machine Learning,Cyber Security 
Cybersecurity;Information Security;Software Development Life Cycle (SDLC);Security Information and Event Management (SIEM);Security Operations Center Electrical and Electronics Engineering 
Cyber Security Analyst Certified Information Security Manager® (CISM);
 Breach & Attack Simulation;Foundations of Operationalizing MITRE ATT&CK;ICSI (International CyberSecurity Institute); 
Certified Network Security Specialist","Cloud computing,Technology,Data analytics,Machine Learning,Cyber Security","
Cybersecurity;Information Security;Software Development Life Cycle (SDLC);Security Information and Event Management (SIEM);Security Operations Center",,Electrical and Electronics Engineering,Cybersecurity Analyst
"Technology Java, Programming Information TechNAlogy Mechanical Engineer No Masters in Business Analytics",Technology,"Java, Programming",Masters in Business Analytics,Information TechNAlogy,Software Developer
"Financial Analysis, Technology Analytic Thinking, Business Knowledge, People Management, Communication Skills, Leadership, Editing, Product Knowledge, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Risk Managing, Reporting, Subject Knowledge Electrical and Electronics Engineering Data Analyst Courses on SAP  Masters in Data Analytics","Financial Analysis, Technology","Analytic Thinking, Business Knowledge, People Management, Communication Skills, Leadership, Editing, Product Knowledge, Team work, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, Problem Solving skills, Risk Managing, Reporting, Subject Knowledge",Masters in Data Analytics,Electrical and Electronics Engineering,Data Scientist
Sales/Marketing Leadership;Designing skills;Writing skills;C++;Hospitality Electronics & Telecommunications Engineering  No Python,Sales/Marketing,Leadership;Designing skills;Writing skills;C++;Hospitality,Python,Electronics & Telecommunications Engineering,Sales & Marketing Executive
"Sales/Marketing Leadership, Product Knowledge, Team work, Excel, Sales, Building Rapport, Subject Knowledge Computer Science Engineering Sales Executive No Masters in Business Administration",Sales/Marketing,"Leadership, Product Knowledge, Team work, Excel, Sales, Building Rapport, Subject Knowledge",Masters in Business Administration,Computer Science Engineering,Sales & Marketing Executive
Web Designing;Game industry;Web development Programming Language skills;Critical Thinking;Editing;Writing skills Engineerinh  No,Web Designing;Game industry;Web development,Programming Language skills;Critical Thinking;Editing;Writing skills,,Engineerinh,Web Developer
"Higher Studies Communication Skills, Leadership, Team work, Excel, Interpersonal Skills, Presentation Skills, Subject Knowledge, AutoCAD, CATIA C++ Assistant Professor CAD Courses - CATIA Automotive Engineering",Higher Studies,"Communication Skills, Leadership, Team work, Excel, Interpersonal Skills, Presentation Skills, Subject Knowledge, AutoCAD, CATIA",Automotive Engineering,C++,Management Professional
Technology;Blockchain C++ Sales & Marketing Senior associate No M.tech,Technology;Blockchain,C++,M.tech,Sales & Marketing,Sales & Marketing Executive
Research;Technology;Game industry;Product Life cycle Management Critical Thinking;Analytical Skills;Product knowledge;Problem Solving skills C programming  Compliance Engineer No,Research;Technology;Game industry;Product Life cycle Management,Critical Thinking;Analytical Skills;Product knowledge;Problem Solving skills,,C programming ,Product Manager
Sales/Marketing;Digital marketing;Social media marketing Active Listening;Critical Thinking;Communication skills;Problem Solving skills;Designing skills;Writing skills;Sales;Social Media Marketing;Presentation Skills Mechanical Engineering  No,Sales/Marketing;Digital marketing;Social media marketing,Active Listening;Critical Thinking;Communication skills;Problem Solving skills;Designing skills;Writing skills;Sales;Social Media Marketing;Presentation Skills,,Mechanical Engineering,Sales & Marketing Executive
"Application Development Analytic Thinking, Gathering Informing, SQL, Programming, Communication Skills, Product Knowledge, Team work, Excel, Logical Skills, Interpersonal Skills, Problem Solving skills Electronics and Communication Engineering Back End Developer Microsoft full stack certification",Application Development,"Analytic Thinking, Gathering Informing, SQL, Programming, Communication Skills, Product Knowledge, Team work, Excel, Logical Skills, Interpersonal Skills, Problem Solving skills",,Electronics and Communication Engineering,Web Developer
"Financial Analysis 
Financial Modeling;Financial Analysis;Generally Accepted Accounting Principles (GAAP);DCF ValuationDCF Valuation;Equity Valuation;M&A analysis Chemical Engineering  Financial Analyst JP Morgan Investment Banking Virtual Experience;NISM VA Mutual Fund Distributor ;Basic and Advance Trading Course Finance",Financial Analysis,"
Financial Modeling;Financial Analysis;Generally Accepted Accounting Principles (GAAP);DCF ValuationDCF Valuation;Equity Valuation;M&A analysis",Finance,Chemical Engineering ,Finance Analyst
"Technology Programming, Communication Skills, Linux AutoCAD Java Developer No",Technology,"Programming, Communication Skills, Linux",,AutoCAD,Civil Engineer
Design Active Listening;Artistic/Creative Skills;Analytical Skills;Designing skills Electronics and Communication Engineering  No,Design,Active Listening;Artistic/Creative Skills;Analytical Skills;Designing skills,,Electronics and Communication Engineering,UI/UX Designer
"Entrepreneurship Accounting Skills, Interpersonal Skills, Presentation Skills Computer Science Engineering Student (Unemployed) Diploma course in Digital Marketing  Masters in Accounting",Entrepreneurship,"Accounting Skills, Interpersonal Skills, Presentation Skills",Masters in Accounting,Computer Science Engineering,Sales & Marketing Executive
Technology;Govt. Job;Industires;Design Active Listening;Communication skills;Editing;Machine Learning skills Electronics and Communication Engineering Mechanical Engineer  No,Technology;Govt. Job;Industires;Design,Active Listening;Communication skills;Editing;Machine Learning skills,,Electronics and Communication Engineering,Machine Learning Engineer
"Technology AI, ML, Python Mechanical Engineering Student (Unemployed) Python Masters in Data Science",Technology,"AI, ML, Python",Masters in Data Science,Mechanical Engineering,Data Scientist
"Teaching, Technology, Entrepreneurship Business Knowledge, Leadership, News Gathering, Team work, Interpersonal Skills, Presentation Skills, Problem Solving skills Accountancy Student (Unemployed) not done any Masters in Business Administration","Teaching, Technology, Entrepreneurship","Business Knowledge, Leadership, News Gathering, Team work, Interpersonal Skills, Presentation Skills, Problem Solving skills",Masters in Business Administration,Accountancy,Business Analyst
"Research Communication Skills, Team work Mechanical Engineering Student (Unemployed) No Masters in Data Analytics",Research,"Communication Skills, Team work",Masters in Data Analytics,Mechanical Engineering,Data Scientist
"Technology AI, ML, Python, SQL Computer Science Engineering ASP.NET Developer . Net",Technology,"AI, ML, Python, SQL",,Computer Science Engineering,Data Scientist
"Financial Analysis, Research, Social Justice, Take risk for Profits, Trading, Understand Human Behaviour ML, Python, Critical Thinking, Analytic Thinking, SQL, Programming, Team work, Logical Skills, Presentation Skills, R, Subject Knowledge Physics Process executive-Data Datascience  Masters in Statistics","Financial Analysis, Research, Social Justice, Take risk for Profits, Trading, Understand Human Behaviour","ML, Python, Critical Thinking, Analytic Thinking, SQL, Programming, Team work, Logical Skills, Presentation Skills, R, Subject Knowledge",Masters in Statistics,Physics,Data Scientist
Market reserach;Design Business Knowledge;Product knowledge;Problem Solving skills;Designing skills;Machine Learning skills Electronics and Communication Engineering  No,Market reserach;Design,Business Knowledge;Product knowledge;Problem Solving skills;Designing skills;Machine Learning skills,,Electronics and Communication Engineering,Machine Learning Engineer
"Financial Analysis Accounting Skills;Finance related skills;Leadership;Problem Solving skills;Presentation Skills Electronics and Communication Engineering Active Trading Service NISM VA, VII, VIII PGDM in Finance",Financial Analysis,Accounting Skills;Finance related skills;Leadership;Problem Solving skills;Presentation Skills,PGDM in Finance,Electronics and Communication Engineering,Finance Analyst
Data analytics;Govt. Job;Data scientist;Web development Active Listening;Programming Language skills;Gathering Information;Analytical Skills;Editing;Writing skills;Machine Learning skills;C++;Python;SQL Statistics  Data science using Python and R,Data analytics;Govt. Job;Data scientist;Web development,Active Listening;Programming Language skills;Gathering Information;Analytical Skills;Editing;Writing skills;Machine Learning skills;C++;Python;SQL,,Statistics,Data Scientist
Data scientist Analytical Skills;CAD/CAE(autocad/catia/ansys/proE/SeimensNX);construction management Design Quality Engineer Data scientist course,Data scientist,Analytical Skills;CAD/CAE(autocad/catia/ansys/proE/SeimensNX);construction management,,Design,Data Scientist
Financial Analysis;Research;Technology;Understand human behaviour;Understand human body;Supply Chain Analysis;Content Writing;Govt. Job;Home interior design;Social causes;Design Accounting Skills;Artistic/Creative Skills;Business Knowledge;Communication skills;Mass Communication;Editing;Problem Solving skills;Designing skills;Writing skills;C++;Presentation Skills;Python;Content creation;Architecture Finance Computerized accounting Data science Accounting,Financial Analysis;Research;Technology;Understand human behaviour;Understand human body;Supply Chain Analysis;Content Writing;Govt. Job;Home interior design;Social causes;Design,Accounting Skills;Artistic/Creative Skills;Business Knowledge;Communication skills;Mass Communication;Editing;Problem Solving skills;Designing skills;Writing skills;C++;Presentation Skills;Python;Content creation;Architecture,Accounting ,Finance,Content Writer
"Financial Analysis Communication Skills, C++, Reading, Subject Knowledge Computer Science Loco pilot Autocad Masters in Business Administration",Financial Analysis,"Communication Skills, C++, Reading, Subject Knowledge",Masters in Business Administration,Computer Science,Civil Engineer
"Sales/Marketing, Trading, Entrepreneurship Creativity Skills, Sales Civil Engineering Student (Unemployed) no courses opted Masters in Business Administration","Sales/Marketing, Trading, Entrepreneurship","Creativity Skills, Sales",Masters in Business Administration,Civil Engineering,Sales & Marketing Executive
"Research;Technology;Data analytics Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Leadership;Designing skills;Wealth Management;Python;SQL Accounting, designing  Data scientists",Research;Technology;Data analytics,Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Leadership;Designing skills;Wealth Management;Python;SQL,,"Accounting, designing",Data Scientist
"Research;Technology;Understand human behaviour;Data analytics;Govt. Job;Home interior design;Retailer;Data scientist;Web development;Market reserach;Social media marketing;All fields related to Data science. Accounting Skills;Active Listening;Hardware skills;Programming Language skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Python;SQL;HR;Good communication skills Mechanical Engineering  Data Science, Python",Research;Technology;Understand human behaviour;Data analytics;Govt. Job;Home interior design;Retailer;Data scientist;Web development;Market reserach;Social media marketing;All fields related to Data science.,Accounting Skills;Active Listening;Hardware skills;Programming Language skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Python;SQL;HR;Good communication skills,,Mechanical Engineering,Data Scientist
Home interior design Designing skills Business Administration Dietician Java Nutrition,Home interior design,Designing skills,Nutrition,Business Administration,Entrepreneur / Business Owner
"Web development,Information Technology,Blockchain,Digital marketing,Game industry Linux;IBM AIX;Shell Scripting;Domain Name System (DNS);Secure Shell (SSH);Python;shell scripting;GIT;Jenkins;Puppet;Ansible;Nagios Computer Science Engineering DevOps Engineer Red Hat Certified Specialist in Ansible Automation;RHCSA;IBM Agile Explorer","Web development,Information Technology,Blockchain,Digital marketing,Game industry",Linux;IBM AIX;Shell Scripting;Domain Name System (DNS);Secure Shell (SSH);Python;shell scripting;GIT;Jenkins;Puppet;Ansible;Nagios,,Computer Science Engineering,Sales & Marketing Executive
Financial Analysis;Govt. Job Accounting Skills;Active Listening;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Finance related skills;People management;Leadership;Problem Solving skills;Writing skills;HR;Good communication skills Electrical and Electronics Engineering ASSOCIATE OPERATIONS PROCESSOR-1 PGDMA  MBA (FINANCE & HR),Financial Analysis;Govt. Job,Accounting Skills;Active Listening;Critical Thinking;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Finance related skills;People management;Leadership;Problem Solving skills;Writing skills;HR;Good communication skills,MBA (FINANCE & HR),Electrical and Electronics Engineering,Management Professional
"News Coverage, Research, Teaching, Technology AI, ML, Python, Java, SQL, Programming, Communication Skills, Work under Pressure, Leadership, Product Knowledge, Creativity Skills, C++, Linux, Problem Solving skills, Writing, Observation Skills, Risk Managing, Reporting Dietician ASP.NET Developer Multiple programming and ML based MOOC courses.","News Coverage, Research, Teaching, Technology","AI, ML, Python, Java, SQL, Programming, Communication Skills, Work under Pressure, Leadership, Product Knowledge, Creativity Skills, C++, Linux, Problem Solving skills, Writing, Observation Skills, Risk Managing, Reporting",,Dietician,Machine Learning Engineer
Technology Programming Computer Science Engineering Front End Developer No,Technology,Programming,,Computer Science Engineering,Data Scientist
News Coverage;Content Writing;Social media marketing Analytical Skills;People management;Mass Communication;Problem Solving skills;Writing skills;Social Media Marketing;Content creation Commerce Sr. Political Analyst  CCC MAMC,News Coverage;Content Writing;Social media marketing,Analytical Skills;People management;Mass Communication;Problem Solving skills;Writing skills;Social Media Marketing;Content creation,MAMC,Commerce,Content Writer
Technology;Data scientist Programming Language skills;Critical Thinking;Communication skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;Presentation Skills;Python;Artificial Intelligence;SQL;Java Computer Science Engineering Associate software engineer No,Technology;Data scientist,Programming Language skills;Critical Thinking;Communication skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;Presentation Skills;Python;Artificial Intelligence;SQL;Java,,Computer Science Engineering,Data Scientist
Machine Learning Python;SQL Automobile Engineering  Internship in innodatatics Master of technology,Machine Learning,Python;SQL,Master of technology,Automobile Engineering,Machine Learning Engineer
"Software ML, Python, SQL, R Reporting, Anchoring, Tv Journalism, Advertising & Radio  Data Scientist Internship in innodatatics Masters in Computer Science",Software,"ML, Python, SQL, R",Masters in Computer Science,"Reporting, Anchoring, Tv Journalism, Advertising & Radio ",Data Scientist
"Technology ML, Python, SQL, R, Tableau Computer Science Engineering ML Engineer Innodatatics Master of technology",Technology,"ML, Python, SQL, R, Tableau",Master of technology,Computer Science Engineering,Data Scientist
"Financial Analysis;Research;Data analytics;Data scientist Active Listening;Business Knowledge;Leadership;Designing skills Aerospace engineering  CAD, CATIA and solidworks",Financial Analysis;Research;Data analytics;Data scientist,Active Listening;Business Knowledge;Leadership;Designing skills,,Aerospace engineering,Data Scientist
"Financial Analysis;Research;Data analytics;Web development;All fields related to Data science. Active Listening;Business Knowledge Aerospace Engineering  Solidworks, CAD and CATIA",Financial Analysis;Research;Data analytics;Web development;All fields related to Data science.,Active Listening;Business Knowledge,,Aerospace Engineering,Data Scientist
Technology PGDCA Electrical and Electronics Engineering Buisness devlopment excutive PGDCA,Technology,PGDCA,,Electrical and Electronics Engineering,Electrical Engineer
Technology Programming Computer Science Engineering Student (Unemployed) No,Technology,Programming,,Computer Science Engineering,Data Scientist
Content Writing Artistic/Creative Skills;Content creation Computers Operations specialist No Masters in commerce,Content Writing,Artistic/Creative Skills;Content creation,Masters in commerce,Computers,Content Writer
Research;Sales/Marketing;Social Justice;Technology;Understand human behaviour;Data analytics Programming Language skills;Critical Thinking;Analytical Skills;Communication skills;Product knowledge;Machine Learning skills;Python;SQL;Cloud Computing Mechanical Engineering Tata projects ltd  Creo,Research;Sales/Marketing;Social Justice;Technology;Understand human behaviour;Data analytics,Programming Language skills;Critical Thinking;Analytical Skills;Communication skills;Product knowledge;Machine Learning skills;Python;SQL;Cloud Computing,,Mechanical Engineering,Data Scientist
Trading;Web Designing;Data analytics;Govt. Job Programming Language skills;Analytical Skills;Editing;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Java Computer Science Engineering Data scientist Data science,Trading;Web Designing;Data analytics;Govt. Job,Programming Language skills;Analytical Skills;Editing;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Java,,Computer Science Engineering,Data Scientist
"Technology AI, ML, Python, Critical Thinking, Analytic Thinking, Gathering Informing, Artistic skills, Java, SQL, Programming, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Product Knowledge, Creativity Skills, Team work, Excel, Presentation Skills, C++, Linux, Problem Solving skills, Mass Communication, Writing, Tableau, Reading, Designing Skills, Building Rapport, Subject Knowledge Computer Science Engineering Data Analyst Splunk , CCNA, CCENT Masters in software engineering",Technology,"AI, ML, Python, Critical Thinking, Analytic Thinking, Gathering Informing, Artistic skills, Java, SQL, Programming, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Product Knowledge, Creativity Skills, Team work, Excel, Presentation Skills, C++, Linux, Problem Solving skills, Mass Communication, Writing, Tableau, Reading, Designing Skills, Building Rapport, Subject Knowledge",Masters in software engineering,Computer Science Engineering,Data Scientist
Technology;Web Designing;Web development Active Listening;Hardware skills;Programming Language skills;Business Knowledge;People management;Communication skills;Writing skills;Machine Learning skills;C++;Presentation Skills;Python;SQL;Content creation;Java;MATLAB;Good communication skills Mobile communications  Testing engineer  Software testing,Technology;Web Designing;Web development,Active Listening;Hardware skills;Programming Language skills;Business Knowledge;People management;Communication skills;Writing skills;Machine Learning skills;C++;Presentation Skills;Python;SQL;Content creation;Java;MATLAB;Good communication skills,,Mobile communications ,Content Writer
"Financial Analysis, Take risk for Profits, Entrepreneurship Accounting Skills, Business Knowledge, Communication Skills, Leadership, Cost Accounting, Market Study Accountancy Student (Unemployed) No Master in commerce","Financial Analysis, Take risk for Profits, Entrepreneurship","Accounting Skills, Business Knowledge, Communication Skills, Leadership, Cost Accounting, Market Study",Master in commerce,Accountancy,Finance Analyst
Data Analytics NO Electronics and Communication Engineering Software Engineer No,Data Analytics,NO,,Electronics and Communication Engineering,Data Scientist
"All fields related to Data science. Active Listening;Critical Thinking;Analytical Skills;Communication skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Presentation Skills Computer Science Engineering   My sql, Data Analyst using excel",All fields related to Data science.,Active Listening;Critical Thinking;Analytical Skills;Communication skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Presentation Skills,,Computer Science Engineering ,Data Scientist
Technology;Data analytics;Data scientist Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Analytical Skills;Finance related skills;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Machine Learning skills;Python;SQL;Good communication skills Electronics and Communication Engineering Associate System Engineer Machine Learning with Python,Technology;Data analytics;Data scientist,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Analytical Skills;Finance related skills;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Machine Learning skills;Python;SQL;Good communication skills,,Electronics and Communication Engineering,Data Scientist
"Financial Analysis Communication Skills, Work under Pressure, Team work, Problem Solving skills Commerce Student (Unemployed) No Masters in Business Administration",Financial Analysis,"Communication Skills, Work under Pressure, Team work, Problem Solving skills",Masters in Business Administration,Commerce,Entrepreneur / Business Owner
Further Studies NO Electrical and Electronics Engineering  No M.Tech ( Master of Technology ),Further Studies,NO,M.Tech ( Master of Technology ),Electrical and Electronics Engineering,Electrical Engineer
Software Job NO Electrical and Electronics Engineering associate Engineer No,Software Job,NO,,Electrical and Electronics Engineering,Software Developer
Research;Teaching;Data analytics Leadership;SQL Computers Associate Consultant No,Research;Teaching;Data analytics,Leadership;SQL,,Computers,Data Scientist
Financial Analysis;Research;Technology;Data analytics;Digital marketing Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Analytical Skills;People management;Data Visualization skills( Power Bi/ Tableau );Presentation Skills;Python Computer Science Engineering  No,Financial Analysis;Research;Technology;Data analytics;Digital marketing,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Analytical Skills;People management;Data Visualization skills( Power Bi/ Tableau );Presentation Skills;Python,,Computer Science Engineering,Data Scientist
Technology;Web Designing;Data analytics;All fields related to Data science. Active Listening;Programming Language skills;C++;Python;SQL;Java;Cloud Computing Computer Science Engineering  No,Technology;Web Designing;Data analytics;All fields related to Data science.,Active Listening;Programming Language skills;C++;Python;SQL;Java;Cloud Computing,,Computer Science Engineering,Data Scientist
"VLSI,Technology Core Skills,Programming Electronics and Communication Engineering VLSI Developer VLSI Training M.Tech","VLSI,Technology","Core Skills,Programming",M.Tech,Electronics and Communication Engineering,Electrical Engineer
Sales/Marketing;Data scientist Active Listening;Business Knowledge;People management;Leadership;Product knowledge;Machine Learning skills;Sales;R Electrical Engineering   No,Sales/Marketing;Data scientist,Active Listening;Business Knowledge;People management;Leadership;Product knowledge;Machine Learning skills;Sales;R,,Electrical Engineering ,Sales & Marketing Executive
Teaching C++ Computer Science Engineering Student (Unemployed) Pgdca Masters in Mathematics,Teaching,C++,Masters in Mathematics,Computer Science Engineering,Academic / Teacher
Animation 2D/3D Animation Animation Graphic Designer Graphic Design & Motion Graphics,Animation,2D/3D Animation,,Animation,UI/UX Designer
Financial Analysis;Technology;Data analytics Active Listening;Gathering Information;Business Knowledge;Analytical Skills;People management;Product knowledge Accounts  No MBA,Financial Analysis;Technology;Data analytics,Active Listening;Gathering Information;Business Knowledge;Analytical Skills;People management;Product knowledge,MBA,Accounts,Product Manager
"Construction and development Creativity Skills, Risk Managing, Reporting, Reading, Subject Knowledge Civil Engineering Student (Unemployed) No Masters in civil engineering",Construction and development,"Creativity Skills, Risk Managing, Reporting, Reading, Subject Knowledge",Masters in civil engineering,Civil Engineering,Civil Engineer
Social causes People management;Civil & Criminal Law pharma D senior chemist  No senior chemist,Social causes,People management;Civil & Criminal Law,senior chemist ,pharma D,Civil Engineer
"Technology AI, ML, Python Sales & Marketing Computer Software Engineer No Masters in Data Science",Technology,"AI, ML, Python",Masters in Data Science,Sales & Marketing,Data Scientist
Financial Analysis Accounting Skills Computer Applications Business Analyst No,Financial Analysis,Accounting Skills,,Computer Applications,Finance Analyst
